,baseline,cbf,cf,group,hybrid,hybrid-cf
Fujimike,0.40252390696543633,0.5208333333333333,0.325,low_checkins,0.4961722924118457,0.17117229241184567
insertcoxjokehere,0.40252390696543633,0.5500455252978145,0.375,low_checkins,0.3048546128151747,-0.07014538718482533
Justinswaldrip,0.40252390696543633,0.033443476741358946,0.3071273906965436,low_checkins,0.08601917572872736,-0.22110821496781624
tamarawolfson,0.40252390696543633,0.5125,0.3008773906965436,low_checkins,0.5598329774659986,0.25895558676945496
marcosten,0.40252390696543633,0.413136403261801,0.38125,low_checkins,0.43191700280510037,0.05066700280510039
Audyoh,0.40252390696543633,0.4375,0.23925478139308726,low_checkins,0.3646030172398085,0.12534823584672122
thomasstorfjord,0.40252390696543633,1.4340086561417886,0.29375,low_checkins,0.6345061074951299,0.3407561074951299
cmosten,0.40252390696543633,0.7360415593049336,0.45,low_checkins,0.554998615283897,0.10499861528389703
Punk_Caste,0.40252390696543633,0.18679283172404215,0.3875,low_checkins,0.196507287647998,-0.19099271235200202
WhisKerfuffle,0.40252390696543633,0.3022281354247135,0.325,low_checkins,0.46030994090273714,0.13530994090273712
iamthearrison,0.40252390696543633,0.6216884929767266,0.3071273906965436,high_checkins,0.6448449931386571,0.33771760244211346
marcusSRG,0.40252390696543633,0.26500738175322774,0.4,high_checkins,0.2860151332593263,-0.11398486674067371
thebigjohnson95,0.40252390696543633,0.3177539168294382,0.3625,high_checkins,0.3002093992217911,-0.062290600778208916
dodson32,0.40252390696543633,0.2574320381869389,0.3071273906965436,high_checkins,0.2845846413646117,-0.0225427493319319
yoyorune,0.40252390696543633,0.3308969736625816,0.34375,high_checkins,0.3342876366696519,-0.009462363330348111
emichael7390,0.40252390696543633,0.4223373857212047,0.275,high_checkins,0.42165048490553014,0.14665048490553012
JandMDAD,0.40252390696543633,0.5723776684468075,0.31337739069654363,high_checkins,0.5707899910196405,0.2574126003230968
augustofontes,0.40252390696543633,0.32921600865871775,0.3375,high_checkins,0.36283420850120407,0.025334208501204047
Slamik,0.40252390696543633,0.3567531525542298,0.34375,high_checkins,0.3871391500144996,0.04338915001449961
Newlesha,0.40252390696543633,0.2560986849145919,0.325,high_checkins,0.3283097186734693,0.0033097186734692974
